glycan,OG_Control_1,OG_Control_2,OG_Control_3,OG_Control_4,OG_SSSMuG_1,OG_SSSMuG_2,OG_SSSMuG_3
GlcA(b1-3)Gal(b1-3)Gal(b1-4)Xyl,0,0,0,0,11.71220576,14.82431057,23.7727774
GalNAc(b1-4)GlcA(b1-3)Gal(b1-3)Gal(b1-4)Xyl,0,0,0,0,5.642916878,8.042136742,8.430628753
GalNAc4S(b1-4)GlcA(b1-3)Gal(b1-3)Gal(b1-4)Xyl,0,0,0,0,8.484254397,6.0552559,4.480753085
GlcA(b1-3)GalNAc(b1-4)GlcA(b1-3)Gal(b1-3)Gal(b1-4)Xyl,0,0,0,0,19.28099423,19.3252039,21.84928989
GlcA(b1-3)GalNAc4S(b1-4)GlcA(b1-3)Gal(b1-3)Gal(b1-4)Xyl,0,0,0,0,54.87962874,51.75309289,41.46655087
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man,4.167064854,2.78902706,3.811289839,4.556222363,4.211817686,5.720642676,3.617621663
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man,83.79523044,80.46965556,78.32898747,55.67690364,79.79213702,78.69389358,72.58438426
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4)]Man,12.0377047,16.74131738,17.85972269,39.766874,15.9960453,15.58546375,23.79799408
Neu5Ac(a2-3)Gal(b1-3)GalNAc,7.003457082,14.78021626,11.38200374,4.774116048,2.77013926,11.86993916,11.14739699
Neu5Ac(a2-3)Gal6S(b1-3)GalNAc,4.590796171,2.151449229,3.405973995,2.165867624,1.585689454,4.481912967,5.619518334
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,76.59468756,73.73552371,76.49939842,88.91098795,81.9118999,67.82378281,65.87962295
{Neu5Ac(a2-3)}Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,4.182547817,2.924051443,2.946376414,1.38468787,8.021581434,7.352745252,9.356555711
{Neu5Ac(a2-3)}Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,3.161405764,4.02456971,1.589635069,1.399793556,2.309687158,4.26603309,3.190083511
{Neu5Ac(a2-8)}Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,1.875162865,1.015739971,1.745542329,0.607824026,1.713146771,1.146753907,1.742202761
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,2.591942741,1.368449677,2.431070034,0.756722929,1.687856027,3.058832818,3.064619741
